Timestamp,HandLimb,Joint,Row,Column
57,Thumb,surface,11,3,
57,Thumb,surface,10,6,
58,Palm,surface,13,9,
58,Palm,surface,13,7,
58,Thumb,surface,11,6,
58,Thumb,surface,9,6,
58,Thumb,surface,11,5,
58,Palm,surface,15,9,
58,Palm,surface,14,7,
58,Thumb,surface,10,5,
58,Palm,surface,14,10,
58,Palm,surface,13,8,
58,Palm,surface,14,9,
58,Thumb,surface,10,6,
58,Palm,surface,15,8,
58,Palm,surface,14,8,
59,Palm,surface,11,12,
59,Palm,surface,11,10,
59,Palm,surface,12,10,
59,Palm,surface,9,11,
59,Palm,surface,10,10,
59,Palm,surface,12,12,
59,Palm,surface,12,9,
59,Palm,surface,10,9,
59,Palm,surface,11,11,
59,Palm,surface,10,12,
59,Palm,surface,9,12,
59,Palm,surface,10,11,
59,Palm,surface,12,11,
59,Palm,surface,9,10,
59,Palm,surface,11,9,
60,Palm,surface,11,12,
60,Palm,surface,8,13,
60,Palm,surface,8,11,
60,Palm,surface,9,11,
60,Palm,surface,10,10,
60,Palm,surface,10,13,
60,Palm,surface,8,10,
60,Palm,surface,8,12,
60,Palm,surface,11,11,
60,Palm,surface,10,12,
60,Palm,surface,9,12,
60,Palm,surface,10,11,
60,Palm,surface,9,13,
60,Palm,surface,9,10,
60,Palm,surface,7,12,
61,Palm,surface,7,11,
61,Palm,surface,8,13,
61,Palm,surface,8,11,
61,Palm,surface,9,11,
61,Palm,surface,7,14,
61,Palm,surface,5,12,
61,Palm,surface,8,10,
61,Palm,surface,8,12,
61,Palm,surface,8,14,
61,Palm,surface,6,12,
61,Palm,surface,9,12,
61,Palm,surface,7,10,
61,Palm,surface,9,13,
61,Palm,surface,7,13,
61,Palm,surface,6,13,
61,Palm,surface,7,12,
61,Palm,surface,6,11,
62,Palm,surface,7,11,
62,Palm,surface,6,14,
62,Palm,surface,4,12,
62,Palm,surface,4,13,
62,Palm,surface,4,11,
62,Palm,surface,5,12,
62,Palm,surface,5,10,
62,Palm,surface,6,10,
62,Palm,surface,6,12,
62,Palm,surface,5,13,
62,Palm,surface,7,13,
62,Palm,surface,6,13,
62,Palm,surface,5,11,
62,Palm,surface,7,12,
62,Palm,surface,6,11,
63,Palm,surface,3,9,
63,Palm,surface,3,12,
63,Palm,surface,4,12,
63,Palm,surface,4,13,
63,Palm,surface,4,11,
63,Palm,surface,5,12,
63,Palm,surface,5,10,
63,Palm,surface,2,12,
63,Palm,surface,2,10,
63,Palm,surface,3,11,
63,Palm,surface,3,10,
63,Palm,surface,4,10,
63,Palm,surface,4,9,
63,Palm,surface,5,11,
63,Palm,surface,3,13,
63,Palm,surface,2,11,
64,Palm,surface,3,9,
64,Palm,surface,3,12,
64,Ring,a,8,1,
64,Palm,surface,4,11,
64,Palm,surface,1,11,
64,Palm,surface,1,9,
64,Palm,surface,2,9,
64,Palm,surface,2,12,
64,Palm,surface,2,10,
64,Palm,surface,3,11,
64,Palm,surface,3,10,
64,Palm,surface,4,10,
64,Palm,surface,4,9,
64,Palm,surface,1,10,
64,Palm,surface,2,8,
64,Palm,surface,2,11,
65,Palm,surface,3,9,
65,Ring,a,8,0,
65,Palm,surface,0,9,
65,Palm,surface,0,8,
65,Palm,surface,1,8,
65,Palm,surface,1,7,
65,Palm,surface,1,9,
65,Palm,surface,2,9,
65,Palm,surface,3,8,
65,Palm,surface,2,10,
65,Palm,surface,2,7,
65,Palm,surface,0,7,
65,Palm,surface,1,10,
65,Palm,surface,2,8,
66,Palm,surface,0,6,
66,Palm,surface,0,9,
66,Palm,surface,0,8,
66,Palm,surface,1,8,
66,Palm,surface,2,6,
66,Palm,surface,1,7,
66,Palm,surface,1,9,
66,Palm,surface,2,9,
66,Palm,surface,1,6,
66,Palm,surface,2,7,
66,Palm,surface,0,7,
66,Palm,surface,2,8,
74,Thumb,surface,5,1,
74,Thumb,surface,6,1,
74,Thumb,surface,5,0,
74,Thumb,surface,4,0,
74,Thumb,surface,6,0,
75,Thumb,surface,8,1,
75,Thumb,surface,7,2,
75,Thumb,surface,7,1,
75,Thumb,surface,9,1,
