Timestamp,HandLimb,Joint,Row,Column
13,Thumb,b,3,2,
13,Thumb,b,4,2,
13,Thumb,b,5,2,
14,Thumb,b,4,2,
14,Thumb,b,5,2,
78,Palm,surface,20,0,
78,Palm,surface,20,1,
79,Palm,surface,20,0,
79,Palm,surface,20,1,
79,Palm,surface,20,2,
79,Palm,surface,20,3,
80,Palm,surface,20,1,
80,Palm,surface,20,2,
80,Palm,surface,20,3,
81,Palm,surface,20,5,
81,Palm,surface,20,6,
82,Palm,surface,20,7,
82,Palm,surface,20,6,
104,Thumb,surface,0,6,
105,Thumb,surface,0,6,
105,Thumb,surface,0,5,
106,Thumb,surface,0,4,
106,Thumb,surface,0,3,
106,Thumb,surface,0,5,
241,Palm,surface,3,2,
241,Palm,surface,3,1,
241,Palm,surface,2,2,
241,Palm,surface,4,3,
241,Palm,surface,4,1,
241,Palm,surface,4,2,
241,Palm,surface,3,3,
242,Palm,surface,3,2,
242,Palm,surface,3,1,
242,Palm,surface,2,2,
242,Palm,surface,4,3,
242,Palm,surface,4,1,
242,Palm,surface,4,2,
242,Palm,surface,3,3,
242,Palm,surface,5,4,
242,Palm,surface,6,3,
242,Palm,surface,5,3,
242,Palm,surface,4,4,
242,Palm,surface,5,1,
242,Palm,surface,5,2,
242,Palm,surface,2,3,
242,Palm,surface,6,2,
242,Palm,surface,3,4,
242,Palm,surface,2,4,
