Timestamp,HandLimb,Joint,Row,Column
1760,Palm,surface,17,0,
1760,Palm,surface,15,1,
1760,Palm,surface,18,2,
1760,Palm,surface,16,0,
1761,Palm,surface,14,2,
1761,Palm,surface,15,0,
1761,Palm,surface,17,2,
1761,Palm,surface,16,3,
1761,Palm,surface,16,1,
1761,Palm,surface,17,1,
1761,Palm,surface,16,2,
1761,Palm,surface,15,3,
1761,Palm,surface,17,3,
1761,Palm,surface,15,2,
1761,Palm,surface,17,0,
1761,Palm,surface,15,1,
1761,Palm,surface,14,1,
1761,Palm,surface,16,0,
1762,Palm,surface,14,2,
1762,Palm,surface,15,0,
1762,Palm,surface,17,2,
1762,Palm,surface,16,3,
1762,Palm,surface,16,1,
1762,Palm,surface,17,1,
1762,Palm,surface,16,2,
1762,Palm,surface,15,3,
1762,Palm,surface,17,3,
1762,Palm,surface,15,2,
1762,Palm,surface,14,3,
1762,Palm,surface,15,1,
1762,Palm,surface,14,1,
1762,Palm,surface,16,0,
1763,Palm,surface,14,2,
1763,Palm,surface,15,0,
1763,Palm,surface,17,2,
1763,Palm,surface,16,3,
1763,Palm,surface,16,1,
1763,Palm,surface,13,2,
1763,Palm,surface,16,2,
1763,Palm,surface,15,3,
1763,Palm,surface,15,2,
1763,Palm,surface,14,3,
1763,Palm,surface,15,1,
1763,Palm,surface,14,1,
1764,Palm,surface,14,2,
1764,Thumb,surface,8,5,
1764,Palm,surface,14,4,
1764,Thumb,surface,9,5,
1764,Thumb,surface,8,4,
1764,Palm,surface,13,3,
1764,Palm,surface,16,3,
1764,Palm,surface,13,4,
1764,Palm,surface,13,2,
1764,Palm,surface,16,2,
1764,Palm,surface,15,3,
1764,Palm,surface,15,4,
1764,Palm,surface,15,2,
1764,Palm,surface,14,3,
1764,Palm,surface,15,1,
1764,Palm,surface,14,1,
1764,Thumb,surface,9,4,
1765,Palm,surface,14,2,
1765,Thumb,surface,8,5,
1765,Palm,surface,14,4,
1765,Thumb,surface,9,5,
1765,Thumb,surface,8,4,
1765,Palm,surface,13,3,
1765,Palm,surface,13,4,
1765,Palm,surface,13,2,
1765,Palm,surface,14,5,
1765,Palm,surface,12,2,
1765,Thumb,surface,8,6,
1765,Thumb,surface,7,5,
1765,Palm,surface,15,3,
1765,Palm,surface,12,4,
1765,Palm,surface,15,4,
1765,Palm,surface,15,2,
1765,Palm,surface,12,3,
1765,Palm,surface,14,3,
1765,Palm,surface,14,1,
1765,Thumb,surface,7,6,
1765,Thumb,surface,9,6,
1766,Palm,surface,11,5,
1766,Thumb,surface,8,5,
1766,Palm,surface,14,4,
1766,Thumb,surface,9,5,
1766,Palm,surface,11,3,
1766,Palm,surface,13,3,
1766,Palm,surface,11,4,
1766,Palm,surface,13,4,
1766,Thumb,surface,6,6,
1766,Palm,surface,14,5,
1766,Thumb,surface,8,6,
1766,Thumb,surface,7,5,
1766,Palm,surface,13,6,
1766,Palm,surface,12,4,
1766,Palm,surface,15,4,
1766,Palm,surface,12,6,
1766,Palm,surface,12,3,
1766,Palm,surface,14,3,
1766,Palm,surface,13,5,
1766,Thumb,surface,7,6,
1766,Thumb,surface,9,6,
1766,Palm,surface,12,5,
1767,Palm,surface,11,5,
1767,Palm,surface,11,7,
1767,Palm,surface,11,6,
1767,Palm,surface,11,4,
1767,Palm,surface,10,6,
1767,Palm,surface,12,7,
1767,Palm,surface,10,5,
1767,Palm,surface,10,7,
1767,Palm,surface,13,6,
1767,Palm,surface,12,4,
1767,Palm,surface,12,6,
1767,Palm,surface,13,5,
1767,Palm,surface,10,4,
1767,Palm,surface,12,5,
1768,Palm,surface,9,8,
1768,Palm,surface,11,7,
1768,Palm,surface,11,6,
1768,Palm,surface,10,6,
1768,Palm,surface,12,7,
1768,Palm,surface,10,7,
1768,Palm,surface,9,6,
1768,Palm,surface,11,8,
1768,Palm,surface,9,7,
1768,Palm,surface,10,8,
1769,Palm,surface,9,8,
1769,Palm,surface,8,8,
1769,Palm,surface,9,9,
1769,Palm,surface,8,9,
1769,Palm,surface,9,10,
1769,Palm,surface,10,9,
1769,Palm,surface,10,8,
1770,Palm,surface,8,10,
1793,Palm,surface,4,0,
1793,Palm,surface,2,0,
1793,Palm,surface,1,0,
1793,Palm,surface,3,0,
1794,Palm,surface,4,0,
